notation,path,domains,tags,name,description
205,\Atmosphere\Gas\Other Gas\H2 (hydrogen molecule),,,H2 (hydrogen molecule),"IUPAC: molecular hydrogen, PubChem CID: 783, CAS Number: 1333-74-0, in gas phase"
206,\Atmosphere\Gas\Other Gas\H2O (as a chemical species),,,H2O (as a chemical species),"IUPAC: oxidane, PubChem CID: 962, CAS Number: 7732-18-5, in gas phase"
207,\Atmosphere\Gas\Other Gas\HDO (as a chemical species),,,HDO (as a chemical species),"IUPAC: n/a, PubChem CID: 139859, CAS Number: 14940-63-7, in gas phase"
210,\Atmosphere\Precipitation\Amount of precipitation,,,Amount of precipitation,
211,\Atmosphere\Precipitation\Duration of precipitation,,,Duration of precipitation,
212,\Atmosphere\Precipitation\Intensity of precipitation,,,Intensity of precipitation,
213,\Atmosphere\Precipitation\Occurrence of precipitation during last period (yes-no),,,Occurrence of precipitation during last period (yes/no),
214,\Atmosphere\Precipitation\Rate of ice accretion,,,Rate of ice accretion,
215,\Atmosphere\Precipitation\Type of precipitation,,,Type of precipitation,
216,\Atmosphere\Pressure\Atmospheric pressure,,,Atmospheric pressure,
217,\Atmosphere\Pressure\Characteristic of pressure tendency,,,Characteristic of pressure tendency,"The pressure characteristic is an indication of how the pressure has changed during that period of time, for example, decreasing then increasing, or increasing and then increasing more rapidly."
218,\Atmosphere\Pressure\Pressure tendency,,,Pressure tendency,"Pressure tendency is the character and amount of atmospheric pressure change for a three-hour or other specified period ending at the time of observation. Pressure tendency is composed of two parts, namely the characteristic of pressure tendency and amount of pressure tendency."
219,\Atmosphere\Radionuclide\Beryllium [Be-7],,,Beryllium [Be-7],"IUPAC: beryllium-7, PubChem CID: 6335489, CAS Number: 13966-02-4"
220,\Atmosphere\Radionuclide\CO2 [C-14],,,CO2 [C-14],CO2 with C-14 isotope
221,\Atmosphere\Radionuclide\Krypton [Kr-85],,,Krypton [Kr-85],"IUPAC: krypton-85, PubChem CID: 104816, CAS Number: 13983-27-2"
222,\Atmosphere\Radionuclide\Lead [Pb-210],,,Lead [Pb-210],"IUPAC: lead-210, PubChem CID: 6328175, CAS Number: 14255-04-0"
223,\Atmosphere\Radionuclide\Radon [Rn-222],,,Radon [Rn-222],"IUPAC: radon-222, PubChem CID: 61773, CAS Number: 14859-67-7"
224,\Atmosphere\Temperature\Air temperature (at specified distance from reference surface),,,Air temperature (at specified distance from reference surface),
225,\Atmosphere\Temperature\Dew-point temperature (at specified distance from reference surface),,,Dew-point temperature (at specified distance from reference surface),
226,"\Atmosphere\Temperature\Extreme temperature (min, max) (at specified distance from reference surface)",,,"Extreme temperature (min, max) (at specified distance from reference surface)",
229,\Atmosphere\Visibility\Runway visual range,,,Runway visual range,
230,\Atmosphere\Visibility\Visibility,,,Visibility,
248,"\Atmosphere\Dynamics\Transport calculations (e.g., trajectories)",,,"Transport calculations (e.g., trajectories)",
249,\Atmosphere\Dynamics\Turbulence,,,Turbulence,Kinetic energy density of turbulent motion of the air
250,\Atmosphere\Dynamics\Turbulence type (low levels and wake vortex),,,Turbulence type (low levels and wake vortex),
252,\Atmosphere\Humidity\Integrated water vapour,,,Integrated water vapour,
253,\Atmosphere\Humidity\Mass mixing ratio,,,Mass mixing ratio,
254,\Atmosphere\Humidity\Object wetness duration,,,Object wetness duration,
255,\Atmosphere\Humidity\Water vapour pressure,,,Water vapour pressure,
257,\Atmosphere\Lightning\Lightning discharge energy,,,Lightning discharge energy,
258,\Atmosphere\Lightning\Lightning discharge polarity,,,Lightning discharge polarity,
259,\Atmosphere\Lightning\Lightning discharge rates,,,Lightning discharge rates,
260,"\Atmosphere\Lightning\Lightning discharge type (cloud to cloud, cloud to surface)",,,"Lightning discharge type (cloud to cloud, cloud to surface)",
265,atmosphere,,,Past weather,"Predominant characteristic of weather which had existed at the station during a given period of time. [Manual on Codes (WMO-No. 306), Volume I.1. 2011 edition updated in 2019.]"
266,atmosphere,,,Present weather,"Weather existing at the time of observation, or under certain conditions, during the hour preceding the time of observation. [Manual on Codes (WMO-No. 306), Volume I.1. 2011 edition updated in 2019.]"
267,\Atmosphere\Radiation\Background luminance,,,Background luminance,
270,\Atmosphere\Radiation\Sunshine duration,,,Sunshine duration,
271,\Atmosphere\Radiation\Surface albedo,,,Surface albedo,
273,\Atmosphere\Radiation\UV\UV-B radiation,,,UV-B radiation,
274,\Atmosphere\Gas\Reactive Gas\BrO (bromine monoxide),,,BrO (bromine monoxide),"IUPAC: n/a, PubChem CID: 5460627, CAS Number: 15656-19-6, in gas phase"
275,\Atmosphere\Gas\Reactive Gas\C2Cl4 (tetrachloroethene),,,C2Cl4 (tetrachloroethene),"IUPAC: 1,1,2,2-tetrachloroethene, PubChem CID: 31373, CAS Number: 127-18-4, in gas phase"
276,\Atmosphere\Gas\Reactive Gas\C2HCl3 (trichloroethene),,,C2HCl3 (trichloroethene),"IUPAC: 1,1,2-trichloroethene, PubChem CID: 6575, CAS Number: 79-01-6, in gas phase"
277,\Atmosphere\Gas\Reactive Gas\CH2Br2 (dibromomethane),,,CH2Br2 (dibromomethane),"IUPAC: dibromomethane, PubChem CID: 3024, CAS Number: 74-95-3, in gas phase"
278,\Atmosphere\Gas\Reactive Gas\CH2Cl2 (dichloromethane),,,CH2Cl2 (dichloromethane),"IUPAC: dichloromethane, PubChem CID: 6344, CAS Number: 75-09-2, in gas phase"
279,\Atmosphere\Gas\Reactive Gas\CH3Br (bromomethane),,,CH3Br (bromomethane),"IUPAC: bromomethane, PubChem CID: 6323, CAS Number: 74-83-9, in gas phase"
280,\Atmosphere\Gas\Reactive Gas\CH3Cl (chloromethane),,,CH3Cl (chloromethane),"IUPAC: chloromethane, PubChem CID: 6327, CAS Number: 74-87-3, in gas phase"
281,\Atmosphere\Gas\Reactive Gas\CH3I (iodomethane),,,CH3I (iodomethane),"IUPAC: iodomethane, PubChem CID: 6328, CAS Number: 74-88-4, in gas phase"
282,\Atmosphere\Gas\Reactive Gas\CHBr3 (bromoform),,,CHBr3 (bromoform),"IUPAC: bromoform, PubChem CID: 5558, CAS Number: 75-25-2, in gas phase"
283,"\Atmosphere\Gas\Reactive Gas\CHCl3 (trichloromethane, chloroform)",,,"CHCl3 (trichloromethane, chloroform)","IUPAC: chloroform, PubChem CID: 6212, CAS Number: 67-66-3, in gas phase"
284,\Atmosphere\Gas\Reactive Gas\CO,,,CO,"IUPAC: carbon monoxide, PubChem CID: 281, CAS Number: 630-08-0, in gas phase"
285,"\Atmosphere\Gas\Reactive Gas\COF2 (difluoromethanal, carbonyl fluoride)",,,"COF2 (difluoromethanal, carbonyl fluoride)","IUPAC: carbonyl difluoride, PubChem CID: 9623, CAS Number: 353-50-4, in gas phase"
286,\Atmosphere\Gas\Reactive Gas\ClO (chlorine monoxide),,,ClO (chlorine monoxide),"IUPAC: n/a, PubChem CID: 166686, CAS Number: 14989-30-1, in gas phase"
287,\Atmosphere\Gas\Reactive Gas\H2O2 (hydrogen peroxide),,,H2O2 (hydrogen peroxide),"IUPAC: hydrogen peroxide, PubChem CID: 784, CAS Number: 7722-84-1, in gas phase"
288,\Atmosphere\Gas\Reactive Gas\HCl (hydrochloric acid),,,HCl (hydrochloric acid),"IUPAC: chlorane, PubChem CID: 313, CAS Number: 7647-01-0, in gas phase"
289,\Atmosphere\Gas\Reactive Gas\HF (hydrofluoric acid),,,HF (hydrofluoric acid),"IUPAC: fluorane, PubChem CID: 14917, CAS Number: 7664-39-3, in gas phase"
291,\Atmosphere\Gas\Reactive Gas\ROOH,,,ROOH,
294,\Atmosphere\Total Atmospheric Deposition\Acidity-Alkalinity,,,Acidity-Alkalinity,
295,\Atmosphere\Total Atmospheric Deposition\Electric conductivity,,,Electric conductivity,
296,\Atmosphere\Total Atmospheric Deposition\Hydrogen ion (H+) or pH,,,Hydrogen ion (H+) or pH,
302,\Atmosphere\Total Atmospheric Deposition\Sulfur (S),,,S (sulfur),"IUPAC: sulfur, PubChem CID: n/a, CAS Number: 7704-34-9, in total deposition"
304,\Atmosphere\Wind\Direction of cloud movement,,,Direction of cloud movement,
305,\Atmosphere\Wind\Gust Speed,,,Gust Speed,
307,"\Atmosphere\Wind\Wind (Z component, vertical)",,,"Wind (Z component, vertical)",Z component of wind vector (horizontal and vertical profile)
310,"\Atmosphere\Wind\Upper wind (X, Y components, horizontal)",,,"Upper wind (X, Y components, horizontal)",Horizontal component of wind as a vector in an orthogonal coordinate system.
314,"particle phase, optical properties",,,Aerosol Absorption Optical Depth,Vertical column integral of spectral aerosol absorption coefficient: AAOD = exp(-K.Δz) where K is the absorption coefficient [km-1] and Δz the vertical path [km]
315,"particle phase, optical properties",,,Aerosol Extinction Coefficient,Spectral volumetric extinction cross-section of aerosol particles.
316,"particle phase, optical properties",,,"Particle light absorption coefficient, PM1",A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM1
317,"particle phase, optical properties",,,"Particle light absorption coefficient, PM10",A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM10
318,"particle phase, optical properties",,,"Particle light absorption coefficient, TSP",A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: TSP
322,"particle phase, optical properties",,,"Particle light scattering coefficient, PM1",A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM1
323,"particle phase, optical properties",,,"Particle light scattering coefficient, PM10",A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM10
324,"particle phase, optical properties",,,"Particle light scattering coefficient, TSP",A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: TSP
325,"particle phase, optical properties",,,"Aerosol optical depth, TSP","The AOD is the effective depth of the aerosol over a specified distance, from the viewpoint of radiation propagation: Vertical integral of spectral aerosol extinction coefficient AOD = exp(-K. Δz) where K is the extinction coefficient [km-1 ] and Δz the vertical path [km]."
327,\Atmosphere\Clouds\Ice\Cloud ice,,,Cloud ice,Atmospheric water in the solid phase (precipitating or not). 
329,\Atmosphere\Clouds\Ice\Cloud ice effective radius,,,Cloud ice effective radius,"The area weighted mean radius of ice particles, assimilated to spheres of the same volume."
330,\Atmosphere\Clouds\Ice\Freezing level height in clouds,,,Freezing level height in clouds,Height of the atmospheric layer in cloud where liquid-solid states transform into each other
331,\Atmosphere\Clouds\Ice\Icing potential,,,Icing potential,"3D field of super-cooled liquid water, enabling the formation of ice coating on an object."
332,\Atmosphere\Gas\Greenhouse Gas\Halon\CBrClF2 (Halon 1211),,,CBrClF2 (Halon 1211),"IUPAC: bromo-chloro-difluoromethane, PubChem CID: 9625, CAS Number: 353-59-3, in gas phase"
333,"\Atmosphere\Gas\Greenhouse Gas\Halon\CBrF3 (bromotrifluoromethane, Halon 1301)",,,"CBrF3 (bromotrifluoromethane, Halon 1301)","IUPAC: bromo(trifluoro)methane, PubChem CID: 6384, CAS Number: 75-63-8, in gas phase"
334,"\Atmosphere\POPs\PAH\C13H10 (9H-fluorene, fluorene), in air",,,"C13H10 (9H-fluorene, fluorene), in air","IUPAC: 9H-fluorene, PubChem CID: 6853, CAS Number: 86-73-7, in gas phase"
335,"\Atmosphere\POPs\PAH\C14H10 (anthracene), PM10",,,"C14H10 (anthracene), PM10","IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in particle phase, PM10"
336,"\Atmosphere\POPs\PAH\C14H10 (anthracene), in aerosol",,,"C14H10 (anthracene), in aerosol","IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in particle phase"
337,"\Atmosphere\POPs\PAH\C14H10 (anthracene), in air and aerosol",,,"C14H10 (anthracene), in air and aerosol","IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in aerosol"
338,"\Atmosphere\POPs\PAH\C14H10 (anthracene), in air",,,"C14H10 (anthracene), in air","IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in gas phase"
339,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), PM10",,,"C14H10 (phenanthrene), PM10","IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in particle phase, PM10"
340,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in aerosol",,,"C14H10 (phenanthrene), in aerosol","IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in particle phase"
341,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in air",,,"C14H10 (phenanthrene), in air","IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in gas phase"
342,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in air and aerosol",,,"C14H10 (phenanthrene), in air and aerosol","IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in aerosol"
343,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in wet deposition",,,"C14H10 (phenanthrene), in wet deposition","IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in wet deposition"
344,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in total precipitation",,,"C14H10 (phenanthrene), in total precipitation","IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in total precipitation"
345,"\Atmosphere\POPs\PAH\C16H10 (pyrene), in air and aerosol",,,"C16H10 (pyrene), in air and aerosol","IUPAC: pyrene, PubChem CID: 31423, CAS Number: 129-00-0, in aerosol"
346,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), PM10",,,"C18H12 (Benz(a)anthracene), PM10","IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in particle phase, PM10"
347,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in aerosol",,,"C18H12 (Benz(a)anthracene), in aerosol","IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in particle phase"
348,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in air",,,"C18H12 (Benz(a)anthracene), in air","IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in gas phase"
349,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in air and aerosol",,,"C18H12 (Benz(a)anthracene), in air and aerosol","IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in aerosol"
350,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in precipitation",,,"C18H12 (Benz(a)anthracene), in precipitation","IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in precipitation"
351,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in total precipitation",,,"C18H12 (Benz(a)anthracene), in total precipitation","IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in total precipitation"
356,\Atmosphere\Radiation\UV\UV Broadband,,,UV Broadband,
357,\Atmosphere\Radiation\UV\UV Erythemally weighted,,,UV Erythemally weighted,
358,\Atmosphere\Radiation\UV\UV Multiband,,,UV Multiband,
359,\Atmosphere\Radiation\UV\UV Spectral,,,UV Spectral,
361,\Atmosphere\Aerosol\Physical properties - primary\Aerosol column burden (mass density),,,Aerosol column burden (mass density),2D field of the column burden of condensed particles in the atmosphere 
362,"particle phase, physical properties",,,Particle effective radius,The area weighted mean radius of the aerosol particles.
364,"particle phase, physical properties",,,"Particle mass concentration, PM10","Mass of particles per unit volume of air, size range: PM10"
365,"particle phase, physical properties",,,"Particle mass concentration, PM1","Mass of particles per unit volume of air, size range: PM1"
366,"particle phase, physical properties",,,"Particle mass concentration, PM2.5","Mass of particles per unit volume of air, size range: PM2.5"
367,"particle phase, physical properties",,,Particle mass concentration (size fractionated),"Mass of particles per unit volume of air, size fractionated"
368,"particle phase, physical properties",,,"Particle mass concentration, TSP","Mass of particles per unit volume of air, size range: TSP"
369,"particle phase, physical properties",,,Particle number concentration,Amount of particles per unit volume of air
370,"particle phase, physical properties",,,"Particle number size distribution, PM10","Particle number concentration as a function of size, typically equivalent spherical radius or diameter. Size range: TSP"
371,"particle phase, physical properties",,,"Particle number size distribution, TSP","Particle number concentration as a function of size, typically equivalent spherical radius or diameter. Size range: PM10"
373,\Atmosphere\Clouds\Liquid water\Cloud liquid water (CLW),,,Cloud liquid water (CLW),Atmospheric water in the liquid phase (precipitating or not).
375,"\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in aerosol",,,"C12H8Cl6 (aldrin), in aerosol","IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in particle phase"
376,"\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in air",,,"C12H8Cl6 (aldrin), in air","IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in gas phase"
377,"\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in air and aerosol",,,"C12H8Cl6 (aldrin), in air and aerosol","IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in aerosol"
378,"\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in total precipitation",,,"C12H8Cl6 (aldrin), in total precipitation","IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in total precipitation"
379,"\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in wet precipitation",,,"C12H8Cl6 (aldrin), in wet precipitation","IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in wet precipitation"
380,"\Atmosphere\POPs\POP\C6Cl6 (hexachlorobenzene, HCB), in air",,,"C6Cl6 (hexachlorobenzene, HCB), in air","IUPAC: 1,2,3,4,5,6-hexachlorobenzene, PubChem CID: 8370, CAS Number: 118-74-1, in gas phase"
381,"\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in aerosol",,,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in aerosol","IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in particle phase"
382,"\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in air",,,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in air","IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in gas phase"
383,"\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in wet precipitation",,,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in wet precipitation","IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in wet deposition"
384,"\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in air",,,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in air","IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in gas phase"
385,"\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in wet precipitation",,,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in wet precipitation","IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID: 727, CAS Number: 319-84-6, in wet deposition"
390,\Atmosphere\Gas\Reactive Gas\Nitrogen containing compounds\Ammonia (NH3),,,NH3 (Ammonia),"IUPAC: azane, PubChem CID: 222, CAS Number: 7664-41-7, in gas phase"
391,"\Atmosphere\Gas\Reactive Gas\Nitrogen containing compounds\C2H3O5N (peroxyacetylnitrate, PAN)",,,"C2H3O5N (peroxyacetylnitrate, PAN)","IUPAC: nitro ethaneperoxoate, PubChem CID: 16782, CAS Number: 2278-22-0, in gas phase"
392,\Atmosphere\Gas\Reactive Gas\Nitrogen containing compounds\ClONO2 (chlorine nitrate),,,ClONO2 (chlorine nitrate),"IUPAC: chloro nitrate, PubChem CID: 114934, CAS Number: 14545-72-3, in gas phase"
393,"\Atmosphere\Gas\Reactive Gas\Nitrogen containing compounds\HCN (formonitrile, hydrogen cyanide)",,,"HCN (formonitrile, hydrogen cyanide)","IUPAC: formonitrile, PubChem CID: 768, CAS Number: 74-90-8, in gas phase"
394,\Atmosphere\Gas\Reactive Gas\Nitrogen containing compounds\HNO3 (nitric acid),,,HNO3 (nitric acid),"IUPAC: nitric acid, PubChem CID: 944, CAS Number: 7697-37-2, in gas phase"
395,\Atmosphere\Gas\Reactive Gas\Nitrogen containing compounds\NO (nitrogen monoxide),,,NO (nitrogen monoxide),"IUPAC: nitric oxide, PubChem CID: 145068, CAS Number: 10102-43-9, in gas phase"
396,\Atmosphere\Gas\Reactive Gas\Nitrogen containing compounds\NO2 (nitrogen dioxide),,,NO2 (nitrogen dioxide),"IUPAC: n/a, PubChem CID: 3032552, CAS Number: 10102-44-0, in gas phase"
397,\Atmosphere\Gas\Reactive Gas\Nitrogen containing compounds\NOx,,,NOx,
398,\Atmosphere\Gas\Reactive Gas\Nitrogen containing compounds\NOy,,,NOy,
411,"particle phase, physical properties",,,CCN concentration at single supersaturation,
412,"particle phase, physical properties",,,CCN concentration spectra,
413,"particle phase, physical properties",,,"Hygroscopic growth factor, 110 μm equivalent",
414,"particle phase, physical properties",,,"Hygroscopic growth factor, 165 μm equivalent",
415,"particle phase, physical properties",,,"Hygroscopic growth factor, 35 μm equivalent",
416,"particle phase, physical properties",,,"Hygroscopic growth factor, 50 μm equivalent",
417,"particle phase, physical properties",,,"Hygroscopic growth factor, 75 μm equivalent",
418,"particle phase, physical properties",,,"Hygroscopic growth factor, total aerosol",
419,"\Atmosphere\Gas\Greenhouse Gas\PFCs\C2F6 (hexafluoroethane, PFC-116)",,,"C2F6 (hexafluoroethane, PFC-116)","IUPAC: 1,1,1,2,2,2-hexafluoroethane, PubChem CID: 6431, CAS Number: 76-16-4, in gas phase"
420,"\Atmosphere\Gas\Greenhouse Gas\PFCs\C3F8 (octafluoropropane, PFC-218)",,,"C3F8 (octafluoropropane, PFC-218)","IUPAC: 1,1,1,2,2,3,3,3-octafluoropropane, PubChem CID: 6432, CAS Number: 76-19-7, in gas phase"
421,"\Atmosphere\Gas\Greenhouse Gas\PFCs\CF4 (tetrafluoromethane, carbon tetrafluoride, perfluoromethane, PFC-14)",,,"CF4 (tetrafluoromethane, carbon tetrafluoride, perfluoromethane, PFC-14)","IUPAC: tetrafluoromethane, PubChem CID: 6393, CAS Number: 75-73-0, in gas phase"
428,"\Atmosphere\Gas\Reactive Gas\Sulfur containing compounds\COS (OCS, carbon oxide sulfide, carbonyl sulfide)",,,"COS (OCS, carbon oxide sulfide, carbonyl sulfide)","IUPAC: carbonyl sulfide, PubChem CID: 10039, CAS Number: 463-58-1, in gas phase"
429,\Atmosphere\Gas\Reactive Gas\Sulfur containing compounds\CS2 (Carbon disulfide),,,CS2 (Carbon disulfide),"IUPAC: methanedithione, PubChem CID: 6348, CAS Number: 75-15-0, in gas phase"
430,\Atmosphere\Gas\Reactive Gas\Sulfur containing compounds\SO2,,,SO2,"IUPAC: sulfur dioxide, PubChem CID: 1119, CAS Number: 7446 09-5, in gas phase"
431,\Atmosphere\Lightning\Position\Lightning detection (time and location),,,Lightning detection (time and location),"Detection of the time and location (latitude, longitude) of lightning events. Accuracy expressed in terms of Hit Rate and False Alarm Rate, which requires predetermination of a specific distance and time tolerance."
432,\Atmosphere\Lightning\Position\Lightning direction from station,,,Lightning direction from station,
433,\Atmosphere\Lightning\Position\Lightning distance from station,,,Lightning distance from station,
